Item,Condition,Current Qty,Par Qty,Minimum Restock,Unit,Vendor,Category,Code (copy to gform),PNS,TRIGGER,Merged Doc ID - Sarkop Stock Opname PDF,Merged Doc URL - Sarkop Stock Opname PDF,Link to merged Doc - Sarkop Stock Opname PDF,Document Merge Status - Sarkop Stock Opname PDF
Selai Stroberi,-,1,1,2,pack 500 gr,Online,Bahan Lainnya,Selai Stroberi [pack 500 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Selai Srikaya,-,1,1,2,pack 800 gr,Online,Bahan Lainnya,Selai Srikaya [pack 800 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Selai Bluberi,-,2,1,2,pack 500 gr,Online,Bahan Lainnya,Selai Bluberi [pack 500 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Selai Matcha,Bahaya!,0,1,2,pack 1 kg,Online,Bahan Lainnya,Selai Matcha [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Spesial (Original),-,20,20,40,pack,Barokah,Bahan Lainnya,Indomie Goreng Spesial (Original) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Rasa Cabe Ijo,-,14,8,16,pack,Barokah,Bahan Lainnya,Indomie Goreng Rasa Cabe Ijo [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Pedas,-,19,6,12,pack,Online,Bahan Lainnya,Indomie Goreng Pedas [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Pedas Kriuk 8x,Bahaya!,7,20,40,pack,Online,Bahan Lainnya,Indomie Goreng Pedas Kriuk 8x [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Rasa Iga Penyet,-,14,2,10,pack,Barokah,Bahan Lainnya,Indomie Goreng Rasa Iga Penyet [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Soto Mie,-,20,10,20,pack,Barokah,Bahan Lainnya,Indomie Kuah Rasa Soto Mie [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Soto Spesial,-,10,6,12,pack,Online (idm),Bahan Lainnya,Indomie Kuah Rasa Soto Spesial [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Ayam Bawang,Low,10,14,28,pack,Barokah,Bahan Lainnya,Indomie Kuah Rasa Ayam Bawang [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Ayam Spesial,Low,5,6,12,pack,Online (idm),Bahan Lainnya,Indomie Kuah Rasa Ayam Spesial [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Kari Ayam,Bahaya!,1,10,20,pack,Barokah,Bahan Lainnya,Indomie Kuah Rasa Kari Ayam [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Kaldu Ayam,Low,3,6,12,pack,Online (idm),Bahan Lainnya,Indomie Kuah Rasa Kaldu Ayam [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Kaldu Udang,-,10,6,12,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Kaldu Udang [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Rasa Sambal Rica-Rica (Sulawesi Utara),-,14,12,24,pack,Online,Bahan Lainnya,Indomie Goreng Rasa Sambal Rica-Rica (Sulawesi Utara) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Rasa Rendang (Padang),-,19,16,32,pack,Barokah,Bahan Lainnya,Indomie Goreng Rasa Rendang (Padang) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Mi Goreng Aceh (Aceh),-,14,6,12,pack,Barokah,Bahan Lainnya,Indomie Goreng Mi Goreng Aceh (Aceh) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Soto Medan (Sumatera Utara),-,12,6,12,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Soto Medan (Sumatera Utara) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Mi Celor (Palembang),-,12,6,12,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Mi Celor (Palembang) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Soto Lamongan (Jawa Timur),-,7,6,12,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Soto Lamongan (Jawa Timur) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Empal Gentong (Cirebon),-,8,2,10,pack,Barokah,Bahan Lainnya,Indomie Kuah Rasa Empal Gentong (Cirebon) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Mi Kocok Bandung (Jawa Barat),-,8,4,10,pack,Barokah,Bahan Lainnya,Indomie Kuah Rasa Mi Kocok Bandung (Jawa Barat) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Rawon Pedas Mercon (Jawa Timur),-,7,6,12,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Rawon Pedas Mercon (Jawa Timur) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Soto Banjar (Kalimantan Selatan),-,14,6,12,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Soto Banjar (Kalimantan Selatan) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Soto Banjar Limau Kuit (Kalsel – varian limau),-,14,12,24,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Soto Banjar Limau Kuit (Kalsel – varian limau) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Coto Makassar (Sulawesi Selatan),-,14,6,12,pack,Online,Bahan Lainnya,Indomie Kuah Rasa Coto Makassar (Sulawesi Selatan) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Rasa Cakalang (Manado/Sulut),-,10,8,16,pack,Barokah / Online,Bahan Lainnya,Indomie Goreng Rasa Cakalang (Manado/Sulut) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Rasa Cakalang (Manado/Sulut),-,8,4,10,pack,Barokah / Online,Bahan Lainnya,Indomie Kuah Rasa Cakalang (Manado/Sulut) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Keriting Goreng Spesial,-,14,3,10,pack,Online (idm),Bahan Lainnya,Indomie Keriting Goreng Spesial [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Keriting Goreng Rasa Ayam Panggang,-,14,3,10,pack,Online (idm),Bahan Lainnya,Indomie Keriting Goreng Rasa Ayam Panggang [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Hype Rasa Ayam Geprek,-,21,4,10,pack,Barokah,Bahan Lainnya,Indomie Goreng Hype Rasa Ayam Geprek [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Nyemek Hype Bangladesh Rasa Kari,-,10,6,12,pack,Barokah / Online (idm),Bahan Lainnya,Indomie Nyemek Hype Bangladesh Rasa Kari [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Hype Rasa Seblak Hot Jeletot,-,6,4,10,pack,Barokah,Bahan Lainnya,Indomie Kuah Hype Rasa Seblak Hot Jeletot [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Tori Miso Ramen,-,10,2,10,pack,Barokah,Bahan Lainnya,Indomie Kuah Tori Miso Ramen [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Tori Kara Ramen,-,4,3,10,pack,Online (idm),Bahan Lainnya,Indomie Kuah Tori Kara Ramen [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng K-Rose (Korean Rosé Sauce),Bahaya!,0,2,2,pack,Online,Bahan Lainnya,Indomie Goreng K-Rose (Korean Rosé Sauce) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Fiery Chikin,Bahaya!,0,2,2,pack,Online,Bahan Lainnya,Indomie Goreng Fiery Chikin [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Kuah Spicy Ramyeon,-,4,2,2,pack,Online,Bahan Lainnya,Indomie Kuah Spicy Ramyeon [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Jumbo Special,-,12,4,10,pack,Barokah,Bahan Lainnya,Indomie Goreng Jumbo Special [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Jumbo Rasa Ayam Panggang,-,12,3,10,pack,Online (idm),Bahan Lainnya,Indomie Goreng Jumbo Rasa Ayam Panggang [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indomie Goreng Jumbo Rendang,-,12,6,12,pack,Online (idm),Bahan Lainnya,Indomie Goreng Jumbo Rendang [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Gaga Goreng Original Indonesia,-,5,3,10,pack,Online (idm),Bahan Lainnya,Mie Gaga Goreng Original Indonesia [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Gaga Goreng Special,-,8,3,10,pack,Online (idm),Bahan Lainnya,Mie Gaga Goreng Special [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Gaga Kuah 100 Extra Pedas Jalapeno,-,4,3,10,pack,Online (idm),Bahan Lainnya,Mie Gaga Kuah 100 Extra Pedas Jalapeno [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Sedaap Goreng,Bahaya!,0,2,10,pack,Barokah,Bahan Lainnya,Mie Sedaap Goreng [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Sedaap Kuah White Curry,-,10,2,10,pack,Barokah,Bahan Lainnya,Mie Sedaap Kuah White Curry [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Sedaap Tasty Bakmi Ayam,-,5,3,10,pack,Online (idm),Bahan Lainnya,Mie Sedaap Tasty Bakmi Ayam [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Sedaap Selection Korean Cheese Buldak (Goreng),-,10,3,10,pack,Online (idm),Bahan Lainnya,Mie Sedaap Selection Korean Cheese Buldak (Goreng) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Sedaap Selection Singapore Spicy Laksa (Kuah),-,19,3,10,pack,Online (idm),Bahan Lainnya,Mie Sedaap Selection Singapore Spicy Laksa (Kuah) [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Camomile & Lemongrass,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Camomile & Lemongrass [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Peppermint & Lemon,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Peppermint & Lemon [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Rooibos & Cinnamon,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Rooibos & Cinnamon [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Wild Strawberry,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Wild Strawberry [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Mango & Lychee,-,2,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Mango & Lychee [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
